Value	Count	Proc
224	101	0.000428172930992
225	93	0.000394258243389
226	79	0.000334907540083
227	82	0.000347625547934
228	65	0.000275556836777
229	63	0.000267078164876
230	67	0.000284035508678
231	58	0.000245881485124
232	70	0.000296753516529
233	61	0.000258599492975
234	53	0.000224684805372
235	65	0.000275556836777
236	32	0.000135658750413
237	53	0.000224684805372
238	42	0.000178052109918
239	54	0.000228924141323
240	39	0.000165334102066
241	51	0.000216206133471
242	28	0.000118701406612
243	29	0.000122940742562
244	25	0.00010598339876
245	33	0.000139898086364
246	29	0.000122940742562
247	26	0.000110222734711
248	35	0.000148376758265
249	27	0.000114462070661
250	22	9.32653909092e-05
251	24	0.00010174406281
252	15	6.35900392563e-05
253	13	5.51113673554e-05
254	15	6.35900392563e-05
255	12	5.0872031405e-05
256	14	5.93507033058e-05
257	11	4.66326954546e-05
258	20	8.47867190083e-05
259	16	6.78293752067e-05
260	12	5.0872031405e-05
261	12	5.0872031405e-05
262	15	6.35900392563e-05
263	11	4.66326954546e-05
264	11	4.66326954546e-05
265	11	4.66326954546e-05
266	5	2.11966797521e-05
267	7	2.96753516529e-05
268	5	2.11966797521e-05
269	6	2.54360157025e-05
270	11	4.66326954546e-05
271	12	5.0872031405e-05
272	6	2.54360157025e-05
273	7	2.96753516529e-05
274	5	2.11966797521e-05
275	4	1.69573438017e-05
276	6	2.54360157025e-05
277	4	1.69573438017e-05
278	5	2.11966797521e-05
279	4	1.69573438017e-05
280	3	1.27180078513e-05
281	4	1.69573438017e-05
282	3	1.27180078513e-05
283	1	4.23933595042e-06
284	2	8.47867190083e-06
285	3	1.27180078513e-05
286	3	1.27180078513e-05
287	3	1.27180078513e-05
288	2	8.47867190083e-06
289	1	4.23933595042e-06
290	0	0.0
291	1	4.23933595042e-06
292	1	4.23933595042e-06
293	4	1.69573438017e-05
294	4	1.69573438017e-05
295	4	1.69573438017e-05
296	3	1.27180078513e-05
297	1	4.23933595042e-06
298	2	8.47867190083e-06
299	0	0.0
300	0	0.0
301	1	4.23933595042e-06
302	2	8.47867190083e-06
303	0	0.0
304	1	4.23933595042e-06
