Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col26,Col22,Col23,Col24
2,8,34,39,15,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,6,29,50,26,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,7,36,56,21,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6,35,74,29,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8,40,67,39,13,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8,41,65,51,14,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,51,95,62,26,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,45,96,63,33,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,56,99,58,43,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5,50,89,89,41,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5,39,102,86,54,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,37,104,103,46,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,50,131,93,60,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,42,113,117,73,26,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,43,135,134,83,26,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,49,117,128,103,26,12,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,41,166,136,108,40,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,33,132,149,122,43,14,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,50,158,144,147,54,14,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,34,145,157,125,58,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,37,145,181,159,61,26,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,29,136,187,151,79,20,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,25,162,181,191,79,19,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,32,152,218,173,93,32,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,31,138,223,221,108,41,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,24,144,218,212,124,43,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,18,145,208,249,134,44,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,16,130,201,282,152,50,13,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,13,150,242,246,176,70,22,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,22,136,285,280,175,68,14,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,13,132,238,309,212,94,27,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,9,105,267,316,204,88,26,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,15,130,257,336,231,88,38,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,6,105,273,321,197,113,37,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,13,101,258,310,257,123,36,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,9,98,253,360,258,111,45,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,10,97,245,353,276,130,40,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,4,89,244,372,327,145,63,9,6,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3,89,253,365,335,189,51,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,4,79,263,360,337,213,75,18,5,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,4,60,252,402,351,189,72,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,5,53,242,413,312,245,90,19,3,2,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2,67,230,409,368,234,98,24,7,1,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,46,231,387,403,268,104,19,8,3,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,49,199,379,423,273,94,34,7,4,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,35,199,391,447,287,116,48,5,4,0,0,0,0,0,0,0,0,0,0,0,0
