Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15
0,0,0,0,0,0,0,18,204,840,2259,3599,4200,3544,2263
0,0,0,0,0,0,2,15,191,847,2208,3586,4121,3555,2347
0,0,0,0,0,0,0,18,191,808,2175,3529,4112,3486,2283
0,0,0,0,0,0,0,9,147,759,2004,3482,4147,3736,2345
0,0,0,0,0,0,0,11,115,740,1926,3354,4032,3610,2466
0,0,0,0,0,0,0,11,136,665,1919,3245,4098,3640,2532
0,0,0,0,0,0,0,8,125,619,1762,3278,3906,3719,2479
0,0,0,0,0,0,0,7,92,587,1618,2989,3806,3636,2447
0,0,0,0,0,0,0,4,87,557,1652,3116,3901,3671,2468
0,0,0,0,0,0,0,3,89,512,1544,2954,3800,3638,2535
0,0,0,0,0,0,0,5,89,476,1530,2853,3878,3669,2708
0,0,0,0,0,0,0,3,89,440,1465,2798,3703,3714,2628
0,0,0,0,0,0,0,3,66,415,1391,2747,3607,3651,2777
0,0,0,0,0,0,0,0,59,413,1279,2728,3641,3607,2745
0,0,0,0,0,0,0,1,61,367,1287,2493,3673,3568,2691
0,0,0,0,0,0,0,0,43,374,1180,2514,3538,3591,2871
0,0,0,0,0,0,0,0,52,335,1190,2336,3527,3551,2807
0,0,0,0,0,0,0,1,44,331,1093,2364,3347,3654,2740
0,0,0,0,0,0,0,1,34,259,996,2195,3365,3547,2914
0,0,0,0,0,0,0,3,30,242,928,2121,3234,3482,2818
0,0,0,0,0,0,0,0,39,248,956,2030,3212,3452,3019
0,0,0,0,0,0,0,1,25,224,863,2050,3070,3414,2922
0,0,0,0,0,0,0,0,26,228,809,1958,2870,3570,3003
0,0,0,0,0,0,0,0,23,205,798,1815,3002,3397,2898
0,0,0,0,0,0,0,3,24,150,714,1802,2862,3414,2832
0,0,0,0,0,0,0,0,16,170,697,1684,2803,3366,3039
0,0,0,0,0,0,0,0,14,159,623,1686,2822,3316,2902
0,0,0,0,0,0,0,0,23,167,614,1598,2691,3218,2939
0,0,0,0,0,0,0,0,15,124,545,1524,2534,3205,2949
0,0,0,0,0,0,0,1,5,126,511,1417,2476,3057,2931
0,0,0,0,0,0,0,2,10,110,536,1438,2451,3098,2881
0,0,0,0,0,0,0,0,8,101,485,1259,2381,3032,2945
0,0,0,0,0,0,0,0,8,103,452,1299,2327,2992,2929
0,0,0,0,0,0,0,0,7,81,398,1252,2263,3042,2924
0,0,0,0,0,0,0,0,8,74,418,1137,2254,2979,2969
0,0,0,0,0,0,0,0,5,71,353,1068,2084,2834,2832
0,0,0,0,0,0,0,0,2,58,332,1041,1980,2688,2840
0,0,0,0,0,0,0,0,9,70,342,1001,1973,2723,2821
0,0,0,0,0,0,0,0,3,45,284,920,1899,2638,2838
0,0,0,0,0,0,0,0,3,39,283,873,1800,2584,2775
0,0,0,0,0,0,0,0,0,40,277,885,1700,2485,2741
0,0,0,0,0,0,0,0,2,35,215,802,1723,2508,2626
0,0,0,0,0,0,0,0,1,36,239,750,1555,2475,2639
0,0,0,0,0,0,0,0,4,29,170,699,1606,2340,2680
0,0,0,0,0,0,0,0,2,33,208,673,1490,2248,2552
0,0,0,0,0,0,0,0,0,25,189,592,1452,2237,2668
0,0,0,0,0,0,0,0,1,15,167,624,1384,2191,2494
0,0,0,0,0,0,0,0,1,29,148,552,1295,2113,2504
0,0,0,0,0,0,0,0,0,12,157,531,1190,2119,2469
0,0,0,0,0,0,0,0,1,17,113,509,1210,1911,2330
0,0,0,0,0,0,0,0,1,6,115,455,1174,1928,2412
0,0,0,0,0,0,0,0,0,9,121,450,1113,1874,2321
0,0,0,0,0,0,0,0,0,11,94,409,1066,1899,2314
0,0,0,0,0,0,0,0,2,8,91,400,1007,1835,2253
0,0,0,0,0,0,0,0,0,10,79,348,990,1712,2172
0,0,0,0,0,0,0,0,0,6,73,361,902,1683,2095
0,0,0,0,0,0,0,0,0,5,60,315,830,1542,2109
0,0,0,0,0,0,0,0,0,7,69,324,850,1568,1990
0,0,0,0,0,0,0,0,0,5,59,259,754,1447,1950
0,0,0,0,0,0,0,0,1,5,61,260,755,1446,2004
0,0,0,0,0,0,0,0,0,5,47,233,683,1294,1872
0,0,0,0,0,0,0,0,0,4,50,229,664,1321,1880
0,0,0,0,0,0,0,0,0,4,40,219,603,1350,1796
0,0,0,0,0,0,0,0,0,1,48,195,598,1188,1774
0,0,0,0,0,0,0,0,0,2,57,196,587,1205,1637
0,0,0,0,0,0,0,0,0,3,28,159,548,1061,1708
0,0,0,0,0,0,0,0,0,4,37,164,513,1083,1656
0,0,0,0,0,0,0,0,0,1,33,159,483,1018,1600
0,0,0,0,0,0,0,0,0,4,26,134,477,986,1493
0,0,0,0,0,0,0,0,0,1,23,123,423,900,1582
0,0,0,0,0,0,0,0,0,1,18,117,398,879,1431
0,0,0,0,0,0,0,0,0,1,22,100,359,908,1372
0,0,0,0,0,0,0,0,0,2,19,95,395,820,1365
0,0,0,0,0,0,0,0,0,1,20,87,362,813,1278
0,0,0,0,0,0,0,0,0,0,11,85,320,785,1311
0,0,0,0,0,0,0,0,0,0,11,76,293,726,1151
0,0,0,0,0,0,0,0,0,1,12,76,286,693,1124
0,0,0,0,0,0,0,0,0,0,7,65,277,655,1068
0,0,0,0,0,0,0,0,0,1,6,55,220,619,1092
0,0,0,0,0,0,0,0,0,1,10,70,234,580,1025
0,0,0,0,0,0,0,0,0,0,5,52,242,586,949
0,0,0,0,0,0,0,0,0,0,8,44,205,527,1000
0,0,0,0,0,0,0,0,0,0,5,47,205,519,864
0,0,0,0,0,0,0,0,0,0,5,34,177,494,950
0,0,0,0,0,0,0,0,0,0,6,44,144,443,852
0,0,0,0,0,0,0,0,0,0,6,32,167,440,800
0,0,0,0,0,0,0,0,0,0,4,28,146,415,842
0,0,0,0,0,0,0,0,0,0,2,28,129,386,754
0,0,0,0,0,0,0,0,0,1,2,32,109,357,751
0,0,0,0,0,0,0,0,0,0,2,16,101,360,660
0,0,0,0,0,0,0,0,0,0,0,19,113,326,694
0,0,0,0,0,0,0,0,0,0,3,18,101,289,586
0,0,0,0,0,0,0,0,0,0,4,18,90,288,625
0,0,0,0,0,0,0,0,0,0,1,8,83,248,588
0,0,0,0,0,0,0,0,0,0,2,17,83,235,571
0,0,0,0,0,0,0,0,0,0,1,11,80,254,527
0,0,0,0,0,0,0,0,0,0,0,6,61,199,484
0,0,0,0,0,0,0,0,0,0,0,14,64,191,460
0,0,0,0,0,0,0,0,0,0,1,9,55,205,385
0,0,0,0,0,0,0,0,0,0,1,8,47,212,422
0,0,0,0,0,0,0,0,0,0,0,6,43,161,382
0,0,0,0,0,0,0,0,0,0,0,9,45,169,383
0,0,0,0,0,0,0,0,0,0,1,5,43,158,374
0,0,0,0,0,0,0,0,0,0,1,8,41,122,343
0,0,0,0,0,0,0,0,0,0,0,3,33,135,310
0,0,0,0,0,0,0,0,0,0,2,4,31,111,322
0,0,0,0,0,0,0,0,0,0,2,6,34,116,316
0,0,0,0,0,0,0,0,0,0,0,4,22,92,283
0,0,0,0,0,0,0,0,0,0,0,5,19,94,262
0,0,0,0,0,0,0,0,0,0,0,7,22,90,260
0,0,0,0,0,0,0,0,0,0,0,2,29,80,232
0,0,0,0,0,0,0,0,0,0,0,3,20,81,225
0,0,0,0,0,0,0,0,0,0,0,1,18,74,212
0,0,0,0,0,0,0,0,0,0,0,2,18,65,173
0,0,0,0,0,0,0,0,0,0,0,1,13,48,186
0,0,0,0,0,0,0,0,0,0,0,1,10,61,180
0,0,0,0,0,0,0,0,0,0,0,0,7,62,162
0,0,0,0,0,0,0,0,0,0,0,2,7,47,156
0,0,0,0,0,0,0,0,0,0,0,0,13,40,146
0,0,0,0,0,0,0,0,0,0,0,1,3,46,140
0,0,0,0,0,0,0,0,0,0,0,0,5,44,130
0,0,0,0,0,0,0,0,0,0,1,1,9,38,126
0,0,0,0,0,0,0,0,0,0,0,0,6,35,91
0,0,0,0,0,0,0,0,0,0,0,0,3,23,106
0,0,0,0,0,0,0,0,0,0,0,2,2,32,99
0,0,0,0,0,0,0,0,0,0,0,0,1,28,85
0,0,0,0,0,0,0,0,0,0,0,0,5,26,87
0,0,0,0,0,0,0,0,0,0,0,1,2,17,72
0,0,0,0,0,0,0,0,0,0,0,0,3,15,73
0,0,0,0,0,0,0,0,0,0,0,1,1,20,69
0,0,0,0,0,0,0,0,0,0,0,0,3,16,72
0,0,0,0,0,0,0,0,0,0,0,0,0,13,56
