Value,Count,Proc
326,401,0.000147976868374
327,380,0.000140227456315
328,379,0.000139858436693
329,343,0.000126573730305
330,329,0.000121407455599
331,305,0.000112550984674
332,258,9.52070624451e-05
333,248,9.15168662263e-05
334,252,9.29929447138e-05
335,231,8.52435326544e-05
336,212,7.82321598386e-05
337,199,7.34349047542e-05
338,190,7.01137281573e-05
339,179,6.60545123166e-05
340,175,6.45784338291e-05
341,132,4.87105900882e-05
342,132,4.87105900882e-05
343,135,4.98176489538e-05
344,114,4.20682368944e-05
345,118,4.35443153819e-05
346,92,3.3949805213e-05
347,91,3.35807855911e-05
348,91,3.35807855911e-05
349,91,3.35807855911e-05
350,69,2.54623539097e-05
351,82,3.02596089942e-05
352,54,1.99270595815e-05
353,56,2.06650988253e-05
354,46,1.69749026065e-05
355,53,1.95580399597e-05
356,53,1.95580399597e-05
357,45,1.66058829846e-05
358,31,1.14396082783e-05
359,23,8.48745130325e-06
360,29,1.07015690345e-05
361,26,9.59451016889e-06
362,26,9.59451016889e-06
363,26,9.59451016889e-06
364,22,8.11843168137e-06
365,14,5.16627470632e-06
366,23,8.48745130325e-06
367,15,5.53529432821e-06
368,14,5.16627470632e-06
369,12,4.42823546256e-06
370,13,4.79725508444e-06
371,21,7.74941205949e-06
372,8,2.95215697504e-06
373,5,1.8450981094e-06
374,12,4.42823546256e-06
375,10,3.6901962188e-06
376,12,4.42823546256e-06
377,5,1.8450981094e-06
378,10,3.6901962188e-06
379,5,1.8450981094e-06
380,7,2.58313735316e-06
381,6,2.21411773128e-06
382,1,3.6901962188e-07
383,2,7.38039243761e-07
384,0,0.0
385,1,3.6901962188e-07
386,6,2.21411773128e-06
387,4,1.47607848752e-06
388,3,1.10705886564e-06
389,1,3.6901962188e-07
390,3,1.10705886564e-06
391,1,3.6901962188e-07
392,0,0.0
393,3,1.10705886564e-06
394,1,3.6901962188e-07
395,0,0.0
396,1,3.6901962188e-07
397,0,0.0
398,1,3.6901962188e-07
399,0,0.0
400,1,3.6901962188e-07
401,1,3.6901962188e-07
402,1,3.6901962188e-07
403,0,0.0
404,0,0.0
405,0,0.0
406,0,0.0
407,1,3.6901962188e-07
